No,Name,Genre,RMS,LUFS,LRA,N peaks,DR,Crest,LR coeff,MS coeff
371,../master-dynamics/audio/371.mp3,funk,0.3360997438430786,-8.108646392822266,1.4215707778930664,6,7.4285436,3.84541654586792,-0.0037734806537628174,0.12502278811605275
518,../master-dynamics/audio/518.mp3,reggaeton,0.3478925824165344,-7.346149444580078,1.94464111328125,738,5.289337,4.205404758453369,0.0007020831108093262,0.18492188521255815
112,../master-dynamics/audio/112.mp3,jazz,0.10078451782464981,-16.307680130004883,3.128131866455078,0,14.396866,11.581268310546875,0.020173564553260803,0.2998512815813632
291,../master-dynamics/audio/291.mp3,metal,0.3191080391407013,-7.0260467529296875,1.146143913269043,31,3.1739717,3.9645659923553467,0.0005289018154144287,0.3227257590006109
284,../master-dynamics/audio/284.mp3,metal,0.2191769927740097,-9.066701889038086,1.0468072891235352,0,6.7779417,5.814332008361816,0.0011231154203414917,0.32727146958959985
608,../master-dynamics/audio/608.mp3,soul,0.11872699856758118,-13.443906784057617,2.0928287506103516,0,9.779559,9.268996238708496,0.001103028655052185,0.38652373001514273
659,../master-dynamics/audio/659.mp3,disco,0.16880279779434204,-13.64011001586914,0.5829448699951172,0,3.0173912,4.992208957672119,-0.006370052695274353,0.23479068440913145
243,../master-dynamics/audio/243.mp3,hip-hop,0.2553672790527344,-9.599458694458008,1.627669334411621,175,7.1796346,5.316180229187012,0.01850104331970215,0.22688157028579337
159,../master-dynamics/audio/159.mp3,reggae,0.2970275580883026,-6.962080001831055,5.766926288604736,791,20.359842,4.656523704528809,-0.011221498250961304,0.3305382806688294
469,../master-dynamics/audio/469.mp3,pop,0.25666218996047974,-10.087347984313965,1.8145465850830078,3864,11.959166,6.439533710479736,-0.00028076767921447754,0.13918861901148769
335,../master-dynamics/audio/335.mp3,electronic,0.1746709644794464,-12.136129379272461,3.8870468139648438,0,11.570259,7.105668544769287,0.006578534841537476,0.304385869766562
418,../master-dynamics/audio/418.mp3,rhythm and blues,0.07929064333438873,-18.64669418334961,4.000896453857422,0,29.280699,8.169084548950195,-0.0009182244539260864,0.015520287257064088
352,../master-dynamics/audio/352.mp3,electronic,0.14988858997821808,-12.949260711669922,2.1344642639160156,0,12.029769,6.471677303314209,0.008230268955230713,0.12309764677222995
372,../master-dynamics/audio/372.mp3,funk,0.22207100689411163,-9.311317443847656,1.3555774688720703,25,8.29127,5.933464050292969,0.009708032011985779,0.2946153317981182
202,../master-dynamics/audio/202.mp3,k-pop,0.2348736822605133,-7.923566818237305,1.3845510482788086,0,8.368059,4.938617706298828,0.016438066959381104,0.3686712137520182
200,../master-dynamics/audio/200.mp3,k-pop,0.2267577201128006,-9.643046379089355,2.882279396057129,49,11.311007,6.122404098510742,0.01907925307750702,0.2243167800657924
132,../master-dynamics/audio/132.mp3,reggae,0.2812547981739044,-8.391265869140625,0.8864731788635254,3,4.299983,4.5949625968933105,-0.008965075016021729,0.26437451338628326
173,../master-dynamics/audio/173.mp3,k-pop,0.20701144635677338,-10.258574485778809,4.613276481628418,0,22.790907,3.6831367015838623,-0.013575837016105652,0.1725585174621915
398,../master-dynamics/audio/398.mp3,funk,0.2215624451637268,-10.423657417297363,0.8591461181640625,16,6.2030525,5.783254146575928,0.009351596236228943,0.09157850664483871
453,../master-dynamics/audio/453.mp3,pop,0.33497461676597595,-7.183332920074463,1.0823726654052734,32,5.5797963,3.9273130893707275,-0.0036357343196868896,0.28476900408386535
471,../master-dynamics/audio/471.mp3,pop,0.20533140003681183,-11.208608627319336,7.0024614334106445,0,19.646254,6.261418342590332,0.0020663440227508545,0.28599090436134705
400,../master-dynamics/audio/400.mp3,rhythm and blues,0.06329191476106644,-19.953739166259766,3.174121856689453,0,10.818752,5.701779365539551,8.642673492431641e-07,0.0036572753894926566
544,../master-dynamics/audio/544.mp3,rock,0.21441568434238434,-10.490409851074219,6.224701881408691,0,17.062841,5.637829303741455,0.00430549681186676,0.20147658301693372
555,../master-dynamics/audio/555.mp3,rock,0.2355019897222519,-9.306791305541992,12.911824226379395,16,24.641987,6.342621326446533,-0.009986400604248047,0.3116571523302207
622,../master-dynamics/audio/622.mp3,disco,0.15667220950126648,-12.258130073547363,3.2252025604248047,0,13.461302,6.297735691070557,-0.019939839839935303,0.30742807358551283
25,../master-dynamics/audio/25.mp3,classical,0.06001013144850731,-20.97818946838379,9.4154052734375,0,21.969944,7.672037601470947,-0.005335073918104172,0.04602523898510688
222,../master-dynamics/audio/222.mp3,hip-hop,0.272897869348526,-7.661349296569824,2.9281907081604004,18,11.261126,4.936559677124023,0.0015685856342315674,0.27874264030652185
597,../master-dynamics/audio/597.mp3,soul,0.26253947615623474,-10.854235649108887,2.785778045654297,0,9.535488,4.601897716522217,-0.008538395166397095,0.061743178826844256
396,../master-dynamics/audio/396.mp3,funk,0.23237690329551697,-10.130142211914062,2.3593320846557617,4,47.401802,5.973350524902344,-0.009168148040771484,0.1992619639834676
227,../master-dynamics/audio/227.mp3,hip-hop,0.2773076295852661,-9.826576232910156,2.914379119873047,57,8.473026,5.13663387298584,0.043377846479415894,0.26264729906697476
399,../master-dynamics/audio/399.mp3,funk,0.07343696802854538,-18.729032516479492,4.810426712036133,0,25.27612,7.2089385986328125,-0.0029047876596450806,0.30968529995888944
419,../master-dynamics/audio/419.mp3,rhythm and blues,0.1210678443312645,-14.006633758544922,2.542154312133789,0,13.97714,9.482933044433594,0.024358287453651428,0.4693686744916328
174,../master-dynamics/audio/174.mp3,k-pop,0.40782102942466736,-4.638077735900879,2.3134851455688477,5289,12.335763,3.655988931655884,-0.0012569725513458252,0.274853888170255
328,../master-dynamics/audio/328.mp3,electronic,0.32627466320991516,-6.454236030578613,0.8486003875732422,61,3.8512316,3.8504457473754883,-0.027343809604644775,0.39694835363162045
432,../master-dynamics/audio/432.mp3,pop,0.33758053183555603,-7.966859817504883,2.677645683288574,1238,11.957317,4.278208255767822,0.002713322639465332,0.21784857978271754
178,../master-dynamics/audio/178.mp3,k-pop,0.3508788049221039,-5.782812595367432,1.7035789489746094,1173,14.513479,4.135784149169922,-0.0011128783226013184,0.3269203664149198
499,../master-dynamics/audio/499.mp3,orchestral,0.11182141304016113,-15.159614562988281,7.199068069458008,0,16.343182,9.566679000854492,0.0031704306602478027,0.45692299314576884
